"[基本集計]","...2","...3","...4","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...5","...6","...7","...8","...9","...10","...11","...12","...13","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...14","...15","...16","...17","...18","...19","...20","...21","...22"
"[Basic Tabulation]",NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"年　　月
Year and month",NA,NA,NA,"総数","農業，林業","非農林業","建設業","製造業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8月","Aug.",NA,"6751","211","6540","473","1046","273","354","1033","161","146","250","389","232","360","906","47","465","253"
NA,"9月","Sept.",NA,"6766","208","6558","492","1048","281","341","1045","163","147","243","392","221","368","914","43","454","248"
NA,"10月","Oct.",NA,"6755","190","6565","495","1053","277","341","1048","162","135","249","390","227","362","910","46","471","247"
NA,"11月","Nov.",NA,"6724","178","6546","484","1045","277","344","1060","165","135","261","393","224","342","898","51","456","247"
NA,"12月","Dec.",NA,"6716","167","6549","473","1046","269","354","1052","174","130","256","396","222","337","892","51","462","256"
"令和 5年","1月","Jan.",NA,"6689","172","6517","483","1055","253","354","1039","161","130","259","388","218","341","909","49","462","258"
"2023","2月","Feb.",NA,"6667","181","6486","511","1041","262","355","1015","156","148","255","388","214","337","900","47","452","247"
NA,"3月","Mar.",NA,"6699","184","6515","485","1067","275","362","1018","162","147","255","388","217","340","886","52","442","253"
NA,"4月","Apr.",NA,"6741","191","6550","468","1065","283","361","1030","155","134","250","373","229","345","917","49","462","261"
NA,"5月","May",NA,"6745","193","6552","476","1046","285","347","1024","153","149","260","381","232","341","926","48","468","254"
NA,"6月","June",NA,"6785","195","6589","481","1059","275","348","1043","163","145","266","397","226","343","935","47","455","248"
NA,"7月","July",NA,"6772","193","6579","474","1054","279","345","1063","154","135","253","405","230","350","914","47","466","247"
NA,"8月","Aug.",NA,"6773","209","6564","479","1043","279","344","1055","146","132","251","405","231","344","912","46","466","261"
NA,"9月","Sept.",NA,"6787","205","6582","503","1027","281","347","1050","155","136","247","416","232","360","907","41","454","254"
NA,"10月","Oct.",NA,"6771","191","6580","489","1053","285","337","1052","159","137","254","408","228","345","906","46","473","243"
NA,"11月","Nov.",NA,"6780","181","6599","469","1078","287","339","1053","151","136","262","413","221","335","920","46","452","252"
NA,"12月","Dec.",NA,"6754","152","6602","481","1074","288","346","1049","150","142","255","417","227","350","894","49","448","257"
"令和 6年","1月","Jan.",NA,"6714","155","6559","482","1071","278","345","1028","157","133","263","410","231","354","891","52","450","253"
"2024","2月","Feb.",NA,"6728","159","6569","480","1066","285","348","1021","159","134","262","400","220","356","915","49","467","245"
NA,"3月","Mar.",NA,"6726","170","6556","482","1010","290","361","1017","157","132","258","402","224","335","930","49","474","265"
